Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",134.200000,-116.000000,-90.000000,top
"C2","100n","C_0402_1005Metric",129.100000,-117.300000,0.000000,top
"C3","100n","C_0402_1005Metric",132.400000,-107.800000,180.000000,top
"C4","100n","C_0402_1005Metric",119.100000,-116.000000,-90.000000,top
"C5","10u","C_0402_1005Metric",126.200000,-117.300000,180.000000,top
"C6","10n","C_0402_1005Metric",122.100000,-101.220000,0.000000,top
"C7","1u","C_0402_1005Metric",116.900000,-114.500000,-90.000000,top
"C8","1u","C_0402_1005Metric",118.500000,-104.100000,-90.000000,top
"C9","100n","C_0402_1005Metric",123.220000,-117.000000,180.000000,top
"C10","22u","C_0805_2012Metric",125.300000,-100.700000,0.000000,top
"C11","22u","C_0805_2012Metric",132.900000,-109.700000,180.000000,top
"D1","LED","LED_0603_1608Metric",116.050000,-116.500000,0.000000,top
"DS1","WC1602A","WC1602A",93.490000,-120.890000,0.000000,top
"FB1","120 R","L_0603_1608Metric",118.500000,-101.500000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",136.900000,-103.600000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",115.600000,-109.240000,180.000000,top
"R1","10k","R_0402_1005Metric",115.500000,-111.900000,0.000000,top
"R2","1k5","R_0402_1005Metric",115.062500,-114.495000,-90.000000,top
"R3","330","R_0402_1005Metric",131.800000,-116.000000,-90.000000,top
"SW1","SW_SPDT","SW_E-Switch_EG1224_SPDT_Angled",110.200000,-104.300000,180.000000,top
"U1","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",132.800000,-112.600000,-90.000000,top
"U2","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",124.450000,-109.695000,90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",138.300000,-113.250000,-90.000000,top
"U4","PCF8574AP","DIP-16_W7.62mm",94.300000,-116.800000,90.000000,top
